ACHC
ACM
ACIW
AES
AFG
AGCO
AIT
ALIT
ALLE
ALNY
AMED
AMKR
AMN
AOS
APAM
AR
ARMK
AROC
ASB
ASH
ATI
AVNT
AXS
AYI
AZEK
AZTA
BBWI
BC
BCC
BDC
BHF
BJ
BKH
BLKB
BLD
BPOP
BRBR
BRX
BXMT
CACC
CADE
CALM
CARG
CATY
CBT
CBSH
CC
CEIX
CFR
CHE
CHRD
CIM
CIVI
CLDX
CLH
CNHI
CNK
CNM
CNO
CNXC
COKE
COHR
COLM
COMM
CRC
CRI
CRL
CROX
CRS
CRUS
CSGS
CUZ
CVLT
CW
CWST
DCI
DDS
DINO
DIOD
DKS
DORM
DT
EFSC
EGP
EHC
ENSG
ENS
EPAM
ERJ
ESAB
ESI
ESNT
EXP
EXPO
FAF
FBP
FBIN
FCFS
FCNCA
FHI
FHN
FIVE
FIX
FL
FLO
FLS
FNB
FND
FOXF
FR
FROG
FSS
FTDR
FUL
GAP
GATX
GBCI
GEF
GFL
GGG
GHC
GKOS
GLW
GMED
GMS
GNW
GNTX
GO
GPK
GPI
GTLS
GWRE
HAE
HALO
HBI
HGV
HLI
HLNE
HNI
HOOD
HP
HQY
HST
HWC
HXL
HZO
IBKR
IBP
IDCC
IEX
IIVI
IPAR
ITCI
ITT
JBL
JBSS
JHG
JLL
JWN
KBR
KEX
KGS
KNF
KRC
KTOS
KVUE
LAD
LANC
LBRT
LCII
LECO
LFUS
LHCG
LIVN
LKFN
LNTH
LOPE
LPX
LSTR
LUMN
LW
MANH
MAN
MASI
MATX
MAXR
MBUU
MC
MCRI
MDGL
MDU
MEDP
MGEE
MGY
MHK
MIDD
MIR
MKSI
MLKN
MMI
MMS
MOG-A
MOH
MSA
MSM
MSGS
MTDR
MTG
MTH
MTN
MTZ
MUR
MUSA
NBHC
NCLH
NEU
NGVT
NJR
NNN
NOV
NOVT
NRG
NSP
NTRA
NVR
NVST
NVT
NXST
OC
OGE
OGN
OGS
OHI
OLN
OMF
ORA
ORI
OZK
PAGA
PATK
PAYC
PCTY
PEN
PGNY
PINC
PLNT
PNM
POOL
POST
POWI
POWL
PPC
PPG
PRI
PRGO
PRK
PRSP
PSN
PSTG
PVH
QLYS
R
RBC
RDN
REZI
RGA
RGLD
RHI
RHP
RIG
RKT
RLI
RNG
RNST
RRX
RS
RYAM
SAH
SAIA
SANM
SBCF
SBRA
SFBS
SFM
SHAK
SITE
SLAB
SLM
SM
SMPL
SN
SNV
SON
SPB
SPSC
SPR
SRC
SSD
SSRM
STAG
STLD
STR
SUM
SUPN
SWX
SXT
TALO
TDC
TDS
TECH
TENB
TER
TFSL
THC
THG
THO
TILE
TKR
TNET
TOL
TPC
TREX
TRMB
TTEK
TTC
TTMI
TXRH
UFI
UFPI
UMBF
UNFI
URBN
USNA
VCEL
VCTR
VIRT
VLY
VMI
VNET
VNO
VNT
VRNS
VSH
WAL
WDFC
WEX
WH
WHD
WINA
WING
WK
WMG
WOR
WPC
WRE
WSC
WSFS
WTS
WWD
X
XNCR
XPO
YETI
ZD
ZI
